Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
odprietoh,Bogota-Hack-0-2017,odprietoh,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
pipemax85,Bogota-Hack-0-2017,pipemax85,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,33.33,0,- - -,- - -,17.14,37.14,0,3rd Phase
pipemax85,Bogota-Hack-0-2017,pipemax85,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,41.86,- - -,- - -,- - -,3rd Phase
juandavidro,Bogota-Hack-0-2017,juandavidro,uxjudge5,purdueironhack+uxjudge5@gmail.com,80,58.33,0,- - -,- - -,94.29,88.57,0,3rd Phase
juandavidro,Bogota-Hack-0-2017,juandavidro,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,37.5,32.56,- - -,- - -,- - -,3rd Phase
UNhcrodriguezl,Bogota-Hack-0-2017,UNhcrodriguezl,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,33.33,62.5,- - -,- - -,17.14,37.14,62.86,3rd Phase
UNhcrodriguezl,Bogota-Hack-0-2017,UNhcrodriguezl,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,75,79.07,- - -,- - -,- - -,3rd Phase
camilo13152,Bogota-Hack-0-2017,camilo13152,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,60,33.33,75,- - -,- - -,74.29,37.14,82.86,3rd Phase
camilo13152,Bogota-Hack-0-2017,camilo13152,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,41.86,- - -,- - -,- - -,3rd Phase
leavendanoro,Bogota-Hack-0-2017,leavendanoro,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,25,25,- - -,- - -,0,5.71,48.57,3rd Phase
leavendanoro,Bogota-Hack-0-2017,leavendanoro,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,62.5,60.47,- - -,- - -,- - -,3rd Phase
cdcordobaa,Bogota-Hack-0-2017,cdcordobaa,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,33.33,62.5,- - -,- - -,17.14,37.14,62.86,3rd Phase
cdcordobaa,Bogota-Hack-0-2017,cdcordobaa,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,75,79.07,- - -,- - -,- - -,3rd Phase
capinillab,Bogota-Hack-0-2017,capinillab,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,60,41.67,62.5,- - -,- - -,74.29,60,62.86,3rd Phase
capinillab,Bogota-Hack-0-2017,capinillab,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,62.5,60.47,- - -,- - -,- - -,3rd Phase
Janoguerab,Bogota-Hack-0-2017,Januguerab,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,20,29.17,0,- - -,- - -,17.14,17.14,0,3rd Phase
Janoguerab,Bogota-Hack-0-2017,Januguerab,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,41.86,- - -,- - -,- - -,3rd Phase
lfvalderrama,Bogota-Hack-0-2017,lfvalderrama,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,40,54.17,68.75,- - -,- - -,62.86,85.71,80,3rd Phase
lfvalderrama,Bogota-Hack-0-2017,lfvalderrama,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,87.5,90.7,- - -,- - -,- - -,3rd Phase
bsgarciac,Bogota-Hack-0-2017,bsgarciac,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,60,50,87.5,- - -,- - -,74.29,77.14,91.43,3rd Phase
bsgarciac,Bogota-Hack-0-2017,bsgarciac,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,75,79.07,- - -,- - -,- - -,3rd Phase
gabi04,Bogota-Hack-0-2017,gabi04,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,20,29.17,0,- - -,- - -,17.14,17.14,0,3rd Phase
gabi04,Bogota-Hack-0-2017,gabi04,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,25,25.58,- - -,- - -,- - -,3rd Phase
