,top4,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,Judgarciani,sacastroc,pcberriop,hsmartineza,Moimolcp,CamiloRueda,juanescai,JoseMolano,maikellPardoA,NicolasZon,camilo654,CristianLozano,top2,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,top3,janoguerab,lfvalderrama,top1,gabi04,annipi,bottom2,jcneivaa,fmbernalb,bottom4,bottom3,bottom1
maikellPardoA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
NicolasZon,0.024922118380062305,0.0,0.039473684210526314,0.1,0.1111111111111111,0.001402524544179523,0.0,0.07692307692307693,0.09411764705882353,0.047619047619047616,0.056338028169014086,0.08235294117647059,0.05357142857142857,0.0,0.08928571428571429,0.0,0.0,0.1111111111111111,0.1875,0.09859154929577464,0.08108108108108109,0.125,0.09782608695652174,0.09333333333333334,0.07317073170731707,0.1282051282051282,0.10344827586206896,0.11627906976744186,0.05970149253731343,0.05660377358490566,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.04477611940298507
camilo654,0.021341463414634148,0.0,0.04938271604938271,0.11428571428571428,0.12195121951219512,0.004210526315789474,0.0,0.08771929824561403,0.08791208791208792,0.06818181818181818,0.08,0.07692307692307693,0.04838709677419355,0.0,0.08064516129032258,0.0,0.1111111111111111,0.0,0.08823529411764706,0.09090909090909091,0.13725490196078433,0.0975609756097561,0.08181818181818182,0.07526881720430108,0.05084745762711865,0.12727272727272726,0.13636363636363635,0.1,0.07228915662650602,0.0743801652892562,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.0,0.08641975308641975
CristianLozano,0.009345794392523364,0.0,0.04225352112676056,0.12,0.09375,0.001053370786516854,0.0,0.0625,0.03529411764705882,0.0375,0.04477611940298507,0.03571428571428571,0.058823529411764705,0.0,0.05660377358490566,0.0,0.1875,0.08823529411764706,0.0,0.04285714285714286,0.06060606060606061,0.15789473684210525,0.03225806451612903,0.04054054054054054,0.08333333333333333,0.08333333333333333,0.125,0.075,0.047619047619047616,0.028846153846153848,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.04838709677419355
top2,0.07584269662921349,0.0,0.047244094488188976,0.06097560975609756,0.189873417721519,0.009365244536940686,0.0,0.06796116504854369,0.09701492537313433,0.18333333333333332,0.205607476635514,0.11450381679389313,0.03669724770642202,0.0,0.2777777777777778,0.0,0.09859154929577464,0.09090909090909091,0.04285714285714286,0.0,0.189873417721519,0.14084507042253522,0.25,0.25925925925925924,0.0425531914893617,0.08888888888888889,0.2112676056338028,0.0625,0.16822429906542055,0.1527777777777778,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.04201680672268908
pipemax85,0.06481481481481481,0.0,0.07954545454545454,0.06521739130434782,0.21739130434782608,0.006659656501927795,0.0,0.09090909090909091,0.12371134020618557,0.15555555555555556,0.18181818181818182,0.06930693069306931,0.0273972602739726,0.0,0.3050847457627119,0.0,0.08108108108108109,0.13725490196078433,0.06060606060606061,0.189873417721519,0.0,0.2647058823529412,0.20618556701030927,0.1951219512195122,0.09090909090909091,0.15384615384615385,0.37142857142857144,0.12280701754385964,0.16,0.13274336283185842,0.08860759493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.075
juandavidro,0.03426791277258567,0.0,0.09333333333333334,0.125,0.30303030303030304,0.0038623595505617976,0.0,0.07272727272727272,0.054945054945054944,0.1375,0.14705882352941177,0.05555555555555555,0.05084745762711865,0.0,0.20754716981132076,0.0,0.125,0.0975609756097561,0.15789473684210525,0.14084507042253522,0.2647058823529412,0.0,0.11827956989247312,0.13333333333333333,0.11904761904761904,0.09302325581395349,0.5217391304347826,0.0625,0.1746031746031746,0.10576923076923077,0.10606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.057971014492753624
UNhcrodriguezl,0.06005221932114883,0.0,0.04,0.03773584905660377,0.25806451612903225,0.00859697386519945,0.0,0.05555555555555555,0.11842105263157894,0.13793103448275862,0.22580645161290322,0.08333333333333333,0.022556390977443608,0.0,0.40816326530612246,0.0,0.09782608695652174,0.08181818181818182,0.03225806451612903,0.25,0.20618556701030927,0.11827956989247312,0.0,0.39473684210526316,0.03418803418803419,0.14150943396226415,0.1978021978021978,0.05042016806722689,0.1297709923664122,0.16666666666666666,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.05755395683453238
camilo13152,0.06611570247933884,0.0,0.04580152671755725,0.03409090909090909,0.30666666666666664,0.006910850034554251,0.0,0.045871559633027525,0.11851851851851852,0.168,0.25471698113207547,0.1111111111111111,0.02631578947368421,0.0,0.4691358024691358,0.0,0.09333333333333334,0.07526881720430108,0.04054054054054054,0.25925925925925924,0.1951219512195122,0.13333333333333333,0.39473684210526316,0.0,0.043859649122807015,0.05309734513274336,0.12631578947368421,0.0603448275862069,0.11450381679389313,0.1402439024390244,0.09848484848484848,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
leavendanoro,0.02046783625730994,0.0,0.08791208791208792,0.08163265306122448,0.05263157894736842,0.002789400278940028,0.0,0.0410958904109589,0.0761904761904762,0.038461538461538464,0.03260869565217391,0.04672897196261682,0.039473684210526314,0.0,0.05194805194805195,0.0,0.07317073170731707,0.05084745762711865,0.08333333333333333,0.0425531914893617,0.09090909090909091,0.11904761904761904,0.03418803418803419,0.043859649122807015,0.0,0.04,0.08196721311475409,0.10810810810810811,0.09375,0.057971014492753624,0.07216494845360824,0.0,0.0,0.0,0.0,0.0,0.0,0.050505050505050504
cdcordobaa,0.029498525073746312,0.0,0.042105263157894736,0.08163265306122448,0.1111111111111111,0.004891684136967156,0.0,0.10144927536231885,0.0660377358490566,0.06930693069306931,0.09195402298850575,0.06666666666666667,0.039473684210526314,0.0,0.0945945945945946,0.0,0.1282051282051282,0.12727272727272726,0.08333333333333333,0.08888888888888889,0.15384615384615385,0.09302325581395349,0.14150943396226415,0.05309734513274336,0.04,0.0,0.13043478260869565,0.0625,0.08333333333333333,0.056,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
top3,0.043343653250773995,0.0,0.0875,0.1388888888888889,0.37142857142857144,0.00597119775201967,0.0,0.10344827586206896,0.08602150537634409,0.18518518518518517,0.2028985507246377,0.08695652173913043,0.046875,0.0,0.3018867924528302,0.0,0.10344827586206896,0.13636363636363635,0.125,0.2112676056338028,0.37142857142857144,0.5217391304347826,0.1978021978021978,0.12631578947368421,0.08196721311475409,0.13043478260869565,0.0,0.07575757575757576,0.189873417721519,0.17391304347826086,0.12048192771084337,0.0,0.0,0.0,0.0,0.0,0.0,0.08139534883720931
janoguerab,0.029154518950437316,0.0,0.061855670103092786,0.05555555555555555,0.04918032786885246,0.005235602094240838,0.0,0.03896103896103896,0.09345794392523364,0.037037037037037035,0.042105263157894736,0.06422018348623854,0.0375,0.0,0.036585365853658534,0.0,0.11627906976744186,0.1,0.075,0.0625,0.12280701754385964,0.0625,0.05042016806722689,0.0603448275862069,0.10810810810810811,0.0625,0.07575757575757576,0.0,0.06741573033707865,0.03816793893129771,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.03296703296703297
lfvalderrama,0.07736389684813753,0.0,0.058823529411764705,0.03896103896103896,0.17567567567567569,0.00798611111111111,0.0,0.09574468085106383,0.1111111111111111,0.1440677966101695,0.22,0.06923076923076923,0.04950495049504951,0.0,0.18681318681318682,0.0,0.05970149253731343,0.07228915662650602,0.047619047619047616,0.16822429906542055,0.16,0.1746031746031746,0.1297709923664122,0.11450381679389313,0.09375,0.08333333333333333,0.189873417721519,0.06741573033707865,0.0,0.14084507042253522,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
top1,0.07751937984496124,0.0,0.050314465408805034,0.04310344827586207,0.14285714285714285,0.009256085018854988,0.0,0.06666666666666667,0.09696969696969697,0.17333333333333334,0.13986013986013987,0.07784431137724551,0.027972027972027972,0.0,0.1732283464566929,0.0,0.05660377358490566,0.0743801652892562,0.028846153846153848,0.1527777777777778,0.13274336283185842,0.10576923076923077,0.16666666666666666,0.1402439024390244,0.057971014492753624,0.056,0.17391304347826086,0.03816793893129771,0.14084507042253522,0.0,0.08670520231213873,0.0,0.0,0.0,0.0,0.0,0.0,0.09941520467836257
gabi04,0.06232294617563739,0.0,0.06837606837606838,0.039473684210526314,0.08860759493670886,0.0062413314840499305,0.0,0.12087912087912088,0.07751937984496124,0.08064516129032258,0.07079646017699115,0.05343511450381679,0.029411764705882353,0.0,0.09183673469387756,0.0,0.12903225806451613,0.08641975308641975,0.04838709677419355,0.10714285714285714,0.08860759493670886,0.10606060606060606,0.10526315789473684,0.09848484848484848,0.07216494845360824,0.058823529411764705,0.12048192771084337,0.06818181818181818,0.1111111111111111,0.08670520231213873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454
annipi,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
bottom2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
jcneivaa,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
fmbernalb,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
bottom4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
bottom3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
bottom1,0.02459016393442623,0.0,0.06837606837606838,0.05333333333333334,0.03614457831325301,0.0058925476603119585,0.0,0.0625,0.05303030303030303,0.06349206349206349,0.04310344827586207,0.03759398496240601,0.039603960396039604,0.0,0.0594059405940594,0.0,0.04477611940298507,0.08641975308641975,0.04838709677419355,0.04201680672268908,0.075,0.057971014492753624,0.05755395683453238,0.03571428571428571,0.050505050505050504,0.058823529411764705,0.08139534883720931,0.03296703296703297,0.05263157894736842,0.09941520467836257,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
