,mnguzmanc,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,Judgarciani,sacastroc,pcberriop,hsmartineza,Moimolcp,CamiloRueda,juanescai,JoseMolano,maikellPardoA,NicolasZon,camilo654,CristianLozano,jdsuarezj,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,capinillab,janoguerab,lfvalderrama,bsgarciac,gabi04,annipi,jdsolanos,jcneivaa,fmbernalb,MogGy94,yocuervoc,odprietoh
JoseMolano,0.008165019338203695,0.06451612903225806,0.05454545454545454,0.006021505376344086,0.42857142857142855,0.008112724167378309,0.0,0.07024793388429752,0.11206896551724138,0.1487603305785124,0.2777777777777778,0.06923076923076923,0.03225806451612903,0.0,0.0,0.06,0.08928571428571429,0.0821917808219178,0.05660377358490566,0.2777777777777778,0.3050847457627119,0.20754716981132076,0.40816326530612246,0.4020618556701031,0.06741573033707865,0.0945945945945946,0.423728813559322,0.036585365853658534,0.18085106382978725,0.14012738853503184,0.09183673469387756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maikellPardoA,0.0013054830287206266,0.02564102564102564,0.04411764705882353,0.0013094718463553033,0.09375,0.0012970168612191958,0.0,0.014218009478672985,0.037037037037037035,0.03296703296703297,0.04477611940298507,0.03296703296703297,0.0625,0.0,0.06,0.0,0.23076923076923078,0.0967741935483871,0.375,0.04477611940298507,0.06666666666666667,0.1875,0.03333333333333333,0.03409090909090909,0.06382978723404255,0.09090909090909091,0.08333333333333333,0.08108108108108109,0.047619047619047616,0.022900763358778626,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NicolasZon,0.0026052974381241857,0.04065040650406504,0.039473684210526314,0.002613240418118467,0.10256410256410256,0.0017241379310344827,0.0,0.037383177570093455,0.09523809523809523,0.07368421052631578,0.0684931506849315,0.07368421052631578,0.05357142857142857,0.0,0.08928571428571429,0.23076923076923078,0.0,0.13513513513513514,0.1875,0.09859154929577464,0.08108108108108109,0.125,0.09782608695652174,0.07608695652173914,0.05454545454545454,0.1282051282051282,0.14634146341463414,0.11627906976744186,0.05714285714285714,0.04411764705882353,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camilo654,0.005183585313174946,0.08148148148148149,0.05434782608695652,0.004329004329004329,0.08928571428571429,0.0038576939562794685,0.0,0.043478260869565216,0.0891089108910891,0.07142857142857142,0.06666666666666667,0.09090909090909091,0.04054054054054054,0.0,0.0821917808219178,0.0967741935483871,0.13513513513513514,0.0,0.08823529411764706,0.09090909090909091,0.13725490196078433,0.0975609756097561,0.08181818181818182,0.06363636363636363,0.07042253521126761,0.12727272727272726,0.14035087719298245,0.1,0.06976744186046512,0.06666666666666667,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CristianLozano,0.001303780964797914,0.025,0.04225352112676056,0.0013077593722755014,0.08571428571428572,0.0012953367875647669,0.0,0.014018691588785047,0.03571428571428571,0.031914893617021274,0.04285714285714286,0.031914893617021274,0.058823529411764705,0.0,0.05660377358490566,0.375,0.1875,0.08823529411764706,0.0,0.04285714285714286,0.06060606060606061,0.15789473684210525,0.03225806451612903,0.03296703296703297,0.06,0.08333333333333333,0.07692307692307693,0.075,0.045454545454545456,0.022388059701492536,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jdsuarezj,0.011991434689507495,0.04,0.047244094488188976,0.007268063274903805,0.18292682926829268,0.010195412064570943,0.0,0.09090909090909091,0.09774436090225563,0.15555555555555556,0.21100917431192662,0.10638297872340426,0.03669724770642202,0.0,0.2777777777777778,0.04477611940298507,0.09859154929577464,0.09090909090909091,0.04285714285714286,0.0,0.189873417721519,0.14084507042253522,0.25,0.21428571428571427,0.04672897196261682,0.08888888888888889,0.3116883116883117,0.0625,0.16363636363636364,0.1329479768786127,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pipemax85,0.00823937554206418,0.09090909090909091,0.07954545454545454,0.0038977912516240795,0.20408163265306123,0.007751937984496124,0.0,0.08181818181818182,0.125,0.09259259259259259,0.175,0.06306306306306306,0.0273972602739726,0.0,0.3050847457627119,0.06666666666666667,0.08108108108108109,0.13725490196078433,0.06060606060606061,0.189873417721519,0.0,0.2647058823529412,0.20618556701030927,0.15,0.08823529411764706,0.15384615384615385,0.2857142857142857,0.12280701754385964,0.15384615384615385,0.12857142857142856,0.08860759493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juandavidro,0.004344048653344918,0.031496062992125984,0.09333333333333334,0.001738374619730552,0.2777777777777778,0.004749568221070812,0.0,0.0514018691588785,0.05555555555555555,0.08247422680412371,0.14084507042253522,0.05,0.05084745762711865,0.0,0.20754716981132076,0.1875,0.125,0.0975609756097561,0.15789473684210525,0.14084507042253522,0.2647058823529412,0.0,0.11827956989247312,0.10869565217391304,0.08928571428571429,0.09302325581395349,0.3157894736842105,0.0625,0.16666666666666666,0.08208955223880597,0.10606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNhcrodriguezl,0.01230377598642342,0.07329842931937172,0.04,0.0071972904318374255,0.25,0.009671993271656855,0.0,0.09523809523809523,0.12666666666666668,0.2605633802816901,0.23015873015873015,0.0783132530120482,0.022556390977443608,0.0,0.40816326530612246,0.03333333333333333,0.09782608695652174,0.08181818181818182,0.03225806451612903,0.25,0.20618556701030927,0.11827956989247312,0.0,0.3435114503816794,0.0546875,0.14150943396226415,0.30526315789473685,0.05042016806722689,0.13533834586466165,0.140625,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camilo13152,0.012744265080713678,0.06282722513089005,0.04054054054054054,0.006776789495976281,0.24210526315789474,0.007559848803023939,0.0,0.1,0.11333333333333333,0.14935064935064934,0.23387096774193547,0.09259259259259259,0.022900763358778626,0.0,0.4020618556701031,0.03409090909090909,0.07608695652173914,0.06363636363636363,0.03296703296703297,0.21428571428571427,0.15,0.10869565217391304,0.3435114503816794,0.0,0.05555555555555555,0.05309734513274336,0.25773195876288657,0.0603448275862069,0.12030075187969924,0.11855670103092783,0.09848484848484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leavendanoro,0.008175559380378658,0.0728476821192053,0.08653846153846154,0.007330746011211729,0.04054054054054054,0.007692307692307693,0.0,0.04065040650406504,0.13513513513513514,0.046153846153846156,0.037037037037037035,0.05426356589147287,0.03333333333333333,0.0,0.06741573033707865,0.06382978723404255,0.05454545454545454,0.07042253521126761,0.06,0.04672897196261682,0.08823529411764706,0.08928571428571429,0.0546875,0.05555555555555555,0.0,0.04,0.06578947368421052,0.10810810810810811,0.08,0.05389221556886228,0.050505050505050504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdcordobaa,0.005613126079447323,0.05714285714285714,0.042105263157894736,0.0038910505836575876,0.10526315789473684,0.005577005577005577,0.0,0.03862660944206009,0.06666666666666667,0.1509433962264151,0.08888888888888889,0.06086956521739131,0.039473684210526314,0.0,0.0945945945945946,0.09090909090909091,0.1282051282051282,0.12727272727272726,0.08333333333333333,0.08888888888888889,0.15384615384615385,0.09302325581395349,0.14150943396226415,0.05309734513274336,0.04,0.0,0.09836065573770492,0.0625,0.09302325581395349,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capinillab,0.009086975335352661,0.055944055944055944,0.07368421052631578,0.005622837370242215,0.24528301886792453,0.007728638900815801,0.0,0.08888888888888889,0.13861386138613863,0.19047619047619047,0.18823529411764706,0.10619469026548672,0.0379746835443038,0.0,0.423728813559322,0.08333333333333333,0.14634146341463414,0.14035087719298245,0.07692307692307693,0.3116883116883117,0.2857142857142857,0.3157894736842105,0.30526315789473685,0.25773195876288657,0.06578947368421052,0.09836065573770492,0.0,0.06578947368421052,0.08080808080808081,0.10759493670886076,0.07291666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
janoguerab,0.007775377969762419,0.04827586206896552,0.061855670103092786,0.005185825410544511,0.046875,0.006429489927132447,0.0,0.04680851063829787,0.09433962264150944,0.05,0.030303030303030304,0.058823529411764705,0.0375,0.0,0.036585365853658534,0.08108108108108109,0.11627906976744186,0.1,0.075,0.0625,0.12280701754385964,0.0625,0.05042016806722689,0.0603448275862069,0.10810810810810811,0.0625,0.06578947368421052,0.0,0.06521739130434782,0.0440251572327044,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfvalderrama,0.009413778348309799,0.07228915662650602,0.05737704918032787,0.007280513918629551,0.1625,0.008496176720475786,0.0,0.0625,0.109375,0.10948905109489052,0.19626168224299065,0.06293706293706294,0.05825242718446602,0.0,0.18085106382978725,0.047619047619047616,0.05714285714285714,0.06976744186046512,0.045454545454545456,0.16363636363636364,0.15384615384615385,0.16666666666666666,0.13533834586466165,0.12030075187969924,0.08,0.09302325581395349,0.08080808080808081,0.06521739130434782,0.0,0.10982658959537572,0.10091743119266056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bsgarciac,0.018036912751677854,0.07894736842105263,0.06486486486486487,0.012128816394813885,0.1103448275862069,0.015806988352745424,0.0,0.12211221122112212,0.10526315789473684,0.0784313725490196,0.1329479768786127,0.06796116504854369,0.023121387283236993,0.0,0.14012738853503184,0.022900763358778626,0.04411764705882353,0.06666666666666667,0.022388059701492536,0.1329479768786127,0.12857142857142856,0.08208955223880597,0.140625,0.11855670103092783,0.05389221556886228,0.058823529411764705,0.10759493670886076,0.0440251572327044,0.10982658959537572,0.0,0.08620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gabi04,0.007702182284980745,0.05454545454545454,0.06837606837606838,0.005136986301369863,0.08536585365853659,0.005942275042444821,0.0,0.046875,0.08661417322834646,0.08029197080291971,0.0782608695652174,0.04964539007092199,0.029411764705882353,0.0,0.09183673469387756,0.05084745762711865,0.12903225806451613,0.08641975308641975,0.04838709677419355,0.10714285714285714,0.08860759493670886,0.10606060606060606,0.10526315789473684,0.09848484848484848,0.050505050505050504,0.058823529411764705,0.07291666666666667,0.06818181818181818,0.10091743119266056,0.08620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annipi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
jdsolanos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
jcneivaa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
fmbernalb,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
MogGy94,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
yocuervoc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
odprietoh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
